C,H,O,Moisture,Ash,ER,T,Steam/Biomass,Bed_material,床型,GY
50.54,7.08,41.11,8,0.55,0.22,750,2.7,Silica sand,fluidised bed,1.51
50.54,7.08,41.11,8,0.55,0.22,850,2.7,Silica sand,fluidised bed,5.45
50.54,7.08,41.11,8,0.55,0.22,900,2.7,Silica sand,fluidised bed,2.53
50.54,7.08,41.11,8,0.55,0.19,800,1.56,Silica sand,fluidised bed,2.13
50.54,7.08,41.11,8,0.55,0.21,800,1.56,Silica sand,fluidised bed,2.25
50.54,7.08,41.11,8,0.55,0.25,800,1.56,Silica sand,fluidised bed,2.18
50.54,7.08,41.11,8,0.55,0.27,800,1.56,Silica sand,fluidised bed,1.88
50.54,7.08,41.11,8,0.55,0.22,800,0,Silica sand,fluidised bed,1.46
50.54,7.08,41.11,8,0.55,0.22,800,1.35,Silica sand,fluidised bed,2.39
50.54,7.08,41.11,8,0.55,0.22,800,2.7,Silica sand,fluidised bed,2.23
50.54,7.08,41.11,8,0.55,0.22,800,4.04,Silica sand,fluidised bed,1.95
50.12,6.68,43.06,113,1.4,0.26,760,0,Silica sand,bubbling fluidised bed,2.12
50.12,6.68,43.06,113,1.4,0.26,760,0,10 % dolomite 90 % Silica sand ,bubbling fluidised bed,2.38
50.12,6.68,43.06,113,1.4,0.26,760,0,30 % dolomite 70 % Silica sand ,bubbling fluidised bed,2.49
50.12,6.68,43.06,113,1.4,0.26,760,0,dolomite,bubbling fluidised bed,2.58
51.26,5.54,42.29,8,0.5,0.3,650,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",2.01
51.26,5.54,42.29,8,0.5,0.3,700,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",2.3
51.26,5.54,42.29,8,0.5,0.3,800,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",2.43
51.26,5.54,42.29,8,0.5,0.3,850,0.85,Calcined dolomite and nickel based catalysts,"atmospheric pressure, indirectly heated, fluidized bed",2.63
46.67,5.48,45.82,10.4,7.9,0.36,740,0,Silica sand,bubbling fluidised bed,1.46
46.67,5.48,45.82,10.4,7.9,0.36,700,0,Silica sand,bubbling fluidised bed,1.43
49.7,5.64,44.21,10.3,1.2,0.36,700,0,Silica sand,bubbling fluidised bed,1.55
48.19,5.56,45.01,10.35,4.55,0.36,740,0,Silica sand,bubbling fluidised bed,1.6
48.19,5.56,45.01,10.35,4.55,0.36,700,0,Silica sand,bubbling fluidised bed,1.54
65.25,9.1,20.74,3.82,4.23,0.2,600,0,310S,continuous fluidized bed,0.51
65.25,9.1,20.74,3.82,4.23,0.2,800,0,310S,continuous fluidized bed,1.22
65.25,9.1,20.74,3.82,4.23,0.2,900,0,310S,continuous fluidized bed,1.54
65.25,9.1,20.74,3.82,4.23,0.3,600,0,310S,continuous fluidized bed,0.61
65.25,9.1,20.74,3.82,4.23,0.3,700,0,310S,continuous fluidized bed,0.95
65.25,9.1,20.74,3.82,4.23,0.3,900,0,310S,continuous fluidized bed,1.54
65.25,9.1,20.74,3.82,4.23,0.4,600,0,310S,continuous fluidized bed,0.69
65.25,9.1,20.74,3.82,4.23,0.4,700,0,310S,continuous fluidized bed,0.97
65.25,9.1,20.74,3.82,4.23,0.4,800,0,310S,continuous fluidized bed,1.26
65.25,9.1,20.74,3.82,4.23,0.5,600,0,310S,continuous fluidized bed,0.77
65.25,9.1,20.74,3.82,4.23,0.5,700,0,310S,continuous fluidized bed,0.99
65.25,9.1,20.74,3.82,4.23,0.5,800,0,310S,continuous fluidized bed,1.25
65.25,9.1,20.74,3.82,4.23,0.5,900,0,310S,continuous fluidized bed,1.54
51.6,6.2,40.4,9.7,0.7,0.3,718,0,Silica sand,fluidised bed,2.92
51.8,6.2,40.6,10,0.4,0.3,815,0,Silica sand,fluidised bed,3.1
51.8,6.2,40.6,8.8,0.4,0.3,772,0,Silica sand,fluidised bed,2.59
51.8,6.2,40.6,9.2,0.4,0.3,787,0,Silica sand,fluidised bed,2.75
50.4,6.25,41.6,10,0.7,0.3,766,0,Silica sand,fluidised bed,2.48
51.8,6.2,40.6,15,0.7,0.3,752,0,Silica sand,fluidised bed,2.46
51.8,6.2,40.6,14.7,0.7,0.3,789,0,Silica sand,fluidised bed,2.13
48.9,7.86,40.3,6.6,2.67,0.3,728,0,Silica sand,fluidised bed,2.06
48.9,7.86,40.3,4.2,2.67,0.3,805,0,Silica sand,fluidised bed,3.24
49.1,7.26,39.5,10.4,3.34,0.3,701,0,Silica sand,fluidised bed,1.72
